dataset.uniprotswissprot	dataset.ensembl_gene_id	t0_1	t0_2	t0_3
P36024	YKR072C	2.10E-07	1.80E-07	2.16E-07
P36036	YKL214C	3.03E-07	3.10E-07	3.56E-07
P36037	YKL213C	2.04E-07	2.05E-07	1.67E-07
P36039	YKL207W	5.96E-08	0	9.08E-08
P36040	YKL206C	5.09E-07	4.67E-07	4.91E-07
P36041	YKL204W	2.06E-07	1.87E-07	1.58E-07
P36046	YKL195W	3.82E-07	3.95E-07	4.34E-07
P36047	YKL193C	3.49E-07	3.26E-07	3.45E-07
P36048	YKL173W	3.63E-09	2.28E-09	2.74E-09
P36049	YKL172W	1.81E-06	1.80E-06	1.75E-06
P36053	YKL160W	2.66E-07	1.99E-07	1.81E-07
P36056	YKL155C	6.73E-08	5.07E-08	5.57E-08
P36057	YKL154W	8.67E-08	1.84E-07	7.52E-08
P36059	YKL151C	2.07E-07	2.39E-07	2.10E-07
P36060	YKL150W	3.61E-06	3.95E-06	3.79E-06
P36064	YKL137W	5.44E-07	6.12E-07	5.56E-07
P36068	YKL130C	1.76E-08	1.71E-08	1.51E-08
P36069	YKL128C	2.08E-07	1.54E-07	2.03E-07
P36076	YKL088W	8.32E-08	8.74E-08	7.79E-08
P36080	YKL082C	2.91E-07	3.19E-07	3.11E-07
P36081	YKL077W	3.83E-07	4.28E-07	4.04E-07
P36088	YKL069W	0	1.05E-07	1.24E-07
P36090	YKL047W	4.83E-09	5.48E-09	4.87E-09
P36094	YKL042W	5.59E-08	6.90E-08	5.95E-08
P36095	YKL041W	5.14E-07	4.78E-07	5.71E-07
P36101	YKL027W	1.63E-07	2.25E-07	1.76E-07
P36102	YKL025C	1.63E-08	2.76E-08	0
P36103	YKL023W	5.94E-08	4.95E-08	4.61E-08
P36104	YKL018W	7.42E-08	1.02E-07	8.55E-08
P36105	YKL006W	0.000120254	9.84E-05	0.000112398
P36108	YKL002W	3.88E-07	3.85E-07	3.07E-07
P36112	YKR016W	4.26E-07	4.78E-07	4.57E-07
P36114	YKR018C	2.11E-07	1.94E-07	1.86E-07
P36116	YKR020W	1.39E-07	5.40E-08	3.15E-08
P36120	YKR024C	2.37E-08	1.78E-08	1.99E-08
P36121	YKR025W	3.31E-08	5.45E-08	6.11E-08
P36123	YKR028W	7.87E-08	3.56E-08	6.45E-08
P36132	YKR038C	9.53E-08	1.18E-07	7.53E-08
P36135	YKR042W	2.47E-07	2.08E-07	2.27E-07
P36136	YKR043C	1.11E-06	1.19E-06	1.05E-06
P36139	YKR046C	2.01E-06	2.33E-06	2.03E-06
P36141	YKR049C	2.90E-07	1.40E-06	2.62E-07
P36144	YKR060W	1.16E-07	1.13E-07	1.19E-07
P36145	YKR062W	1.19E-07	1.07E-07	1.05E-07
P36147	YKR065C	5.18E-07	5.66E-07	5.68E-07
P36148	YKR067W	2.12E-08	1.82E-08	2.60E-08
P36149	YKR068C	3.07E-07	3.41E-07	2.84E-07
P36150	YKR069W	5.46E-07	6.51E-07	6.13E-07
P36151	YKR070W	1.59E-07	1.43E-07	1.50E-07
P36152	YKR071C	1.25E-07	1.33E-07	1.28E-07
P36154	YKR074W	1.44E-06	1.52E-06	1.55E-06
P36156	YKR076W	1.26E-07	2.00E-07	2.98E-07
P36160	YKR081C	4.62E-07	4.83E-07	4.82E-07
P36161	YKR082W	5.09E-08	5.51E-08	5.27E-08
P36421	YGR185C	4.33E-06	4.36E-06	4.41E-06
P36516	YMR024W	5.21E-07	5.24E-07	5.69E-07
P36517	YLR439W	4.29E-07	5.67E-07	5.29E-07
P36519	YDR237W	4.50E-07	6.35E-07	3.85E-07
P36520	YNL284C	6.27E-07	6.78E-07	6.87E-07
P36521	YDL202W	6.29E-07	6.67E-07	6.64E-07
P36523	YLR312W-A	8.50E-07	9.59E-07	9.43E-07
P36525	YMR193W	4.17E-07	4.66E-07	4.36E-07
P36526	YBR282W	3.82E-07	4.19E-07	4.08E-07
P36527	YDR462W	4.17E-07	4.20E-07	4.74E-07
P36528	YNL252C	3.94E-07	3.59E-07	3.98E-07
P36531	YBR122C	8.25E-07	7.71E-07	7.29E-07
P36532	YBR268W	4.54E-07	3.47E-07	3.03E-07
P36533	YML009C	5.12E-07	5.94E-07	5.59E-07
P36534	YPL173W	5.35E-07	6.15E-07	6.08E-07
P36775	YBL022C	9.75E-07	9.93E-07	1.05E-06
P37012	YMR105C	3.30E-07	3.63E-07	3.47E-07
P37020	YJR040W	8.47E-10	1.10E-09	8.52E-10
P37254	YNR033W	2.01E-08	1.76E-08	1.47E-08
P37262	YCR073W-A	2.68E-07	2.71E-07	2.63E-07
P37263	YCR087C-A	6.29E-07	6.43E-07	6.28E-07
P37267	YGR174C	2.92E-07	2.85E-07	2.86E-07
P37291	YLR058C	6.58E-05	6.51E-05	6.51E-05
P37292	YBR263W	3.61E-06	3.65E-06	3.72E-06
P37293	YGR147C	1.50E-08	1.23E-08	1.76E-08
P37296	YMR054W	2.82E-07	2.22E-07	3.06E-07
P37297	YLR305C	9.16E-08	0	1.04E-07
P37298	YDR178W	7.03E-08	6.13E-08	6.66E-08
P37299	YHR001W-A	2.00E-06	2.15E-06	7.08E-06
P37302	YBR286W	2.12E-06	2.00E-06	2.13E-06
P37303	YEL046C	2.18E-06	2.44E-06	2.48E-06
P37304	YDR251W	1.12E-08	9.71E-09	4.58E-09
P37370	YLR337C	2.38E-08	2.62E-08	2.05E-08
P37838	YPL043W	1.21E-07	9.65E-08	9.22E-08
P37898	YHR047C	2.21E-07	2.19E-07	1.93E-07
P38009	YMR120C	2.24E-05	2.53E-05	2.44E-05
P38011	YMR116C	9.00E-05	9.71E-05	9.19E-05
P38013	YLR109W	3.26E-05	3.52E-05	3.16E-05
P38041	YBL085W	1.12E-08	0	0
P38061	YBL092W	6.61E-05	8.54E-05	9.64E-05
P38063	YBL068W	3.88E-07	3.75E-07	3.61E-07
P38064	YBL038W	4.09E-07	4.09E-07	4.34E-07
P38065	YBL037W	8.69E-09	6.76E-09	7.95E-09
P38066	YBL033C	2.02E-07	1.95E-07	1.52E-07
P38067	YBR006W	1.01E-07	1.30E-07	1.07E-07
P38069	YBR015C	6.33E-08	5.23E-08	6.01E-08
P38070	YBR028C	4.89E-09	5.48E-09	4.15E-09
P38071	YBR026C	4.50E-07	5.24E-07	8.56E-07
P38072	YBR024W	0	4.83E-08	4.24E-08
P38074	YBR034C	1.24E-06	1.26E-06	1.22E-06
P38075	YBR035C	4.55E-06	4.61E-06	4.72E-06
P38077	YBR039W	6.22E-06	6.46E-06	6.72E-06
P38080	YBR059C	2.35E-09	2.93E-09	2.53E-09
P38081	YBR056W	3.66E-07	3.27E-07	3.64E-07
P38109	YBR139W	5.51E-08	8.27E-08	5.26E-08
P38112	YBR142W	2.08E-07	2.01E-07	1.87E-07
P38113	YBR145W	3.01E-07	3.68E-07	3.71E-07
P38115	YBR149W	1.77E-06	1.54E-06	1.63E-06
P38116	YBR164C	2.00E-07	2.01E-07	2.03E-07
P38120	YBR146W	6.50E-07	6.57E-07	6.88E-07
P38121	YBL035C	3.03E-08	2.93E-08	2.67E-08
P38122	YBR176W	2.65E-07	3.04E-07	2.46E-07
P38127	YBR192W	4.76E-08	4.69E-08	5.15E-08
P38129	YBR198C	6.87E-08	7.60E-08	9.56E-08
P38130	YBR205W	9.54E-08	7.76E-08	8.11E-08
P38132	YBR202W	7.71E-09	7.30E-09	6.00E-09
P38137	YBR222C	3.06E-07	3.46E-07	3.47E-07
P38143	YBR244W	4.99E-09	5.96E-09	4.82E-09
P38144	YBR245C	9.46E-08	9.61E-08	9.98E-08
P38145	YBR256C	9.64E-07	1.04E-06	1.12E-06
P38149	YBR281C	1.82E-08	2.95E-08	6.03E-08
P38152	YBR291C	2.92E-06	2.98E-06	2.90E-06
P38153	YBR288C	8.10E-08	9.14E-08	7.65E-08
P38162	YBL107C	4.30E-08	8.39E-08	1.18E-07
P38164	YBL104C	0	3.43E-09	4.88E-09
P38167	YBL101C	1.10E-07	9.80E-08	9.85E-08
P38169	YBL098W	8.35E-08	8.81E-08	8.73E-08
P38174	YBL091C	6.77E-07	5.63E-07	6.03E-07
P38175	YBL090W	4.58E-07	5.21E-07	4.73E-07
P38181	YBL079W	5.36E-08	5.18E-08	6.44E-08
P38182	YBL078C	1.05E-07	8.09E-08	2.07E-07
P38187	YBL067C	1.30E-08	9.78E-09	0
P38197	YBL036C	1.67E-06	1.68E-06	1.56E-06
P38199	YBL032W	6.00E-07	6.23E-07	5.79E-07
P38202	YBL028C	7.40E-07	7.63E-07	6.57E-07
P38203	YBL026W	1.10E-06	1.14E-06	1.24E-06
P38205	YBL024W	1.13E-06	1.08E-06	1.13E-06
P38216	YBR016W	5.63E-07	4.14E-07	3.29E-07
P38217	YBR017C	1.53E-07	1.26E-07	1.25E-07
P38219	YBR025C	1.53E-05	1.61E-05	1.51E-05
P38221	YBR029C	6.61E-06	5.73E-06	8.22E-06
P38228	YBR044C	0	1.22E-07	4.07E-08
P38230	YBR046C	2.70E-07	3.39E-07	2.71E-07
P38234	YBR052C	1.02E-06	9.83E-07	8.90E-07
P38235	YBR053C	7.60E-08	4.50E-08	5.45E-08
P38236	YBR057C	1.54E-07	0	2.94E-08
P38237	YBR058C	8.19E-08	1.08E-07	1.03E-07
P38238	YBR061C	2.81E-07	3.35E-07	2.62E-07
P38247	YBR077C	4.81E-08	4.06E-08	3.96E-08
P38248	YBR078W	3.37E-06	2.99E-06	3.22E-06
P38249	YBR079C	3.30E-06	3.13E-06	3.23E-06
P38250	YBR086C	9.36E-08	7.39E-08	7.63E-08
P38251	YBR087W	1.14E-07	1.24E-07	1.05E-07
P38254	YBR094W	2.89E-08	2.42E-08	2.30E-08
P38255	YBR095C	7.34E-08	7.07E-08	0
P38256	YBR096W	2.75E-08	1.96E-08	1.72E-08
P38260	YBR101C	6.57E-07	6.57E-07	6.55E-07
P38261	YBR102C	4.16E-08	3.45E-08	3.83E-08
P38262	YBR103W	5.93E-08	1.71E-07	5.56E-08
P38264	YBR106W	5.16E-06	4.75E-06	5.25E-06
P38266	YBR108W	1.14E-08	4.22E-09	0
P38271	YBR129C	3.62E-08	3.50E-08	4.68E-08
P38272	YBR130C	2.08E-07	1.69E-07	1.84E-07
P38276	YBR137W	5.03E-07	4.83E-07	5.97E-07
P38281	YBR151W	3.80E-07	4.10E-07	3.57E-07
P38286	YBR159W	2.21E-07	1.84E-07	2.16E-07
P38288	YBR162C	6.52E-07	7.06E-07	6.47E-07
P38295	YBR177C	2.49E-06	2.66E-06	2.64E-06
P38297	YBR179C	4.70E-09	3.06E-09	0
P38300	YBR185C	7.56E-08	2.04E-07	6.87E-07
P38310	YBR207W	0	2.52E-08	2.22E-08
P38314	YBR214W	1.92E-07	2.38E-07	1.98E-07
P38321	YBR225W	1.47E-08	1.78E-08	1.35E-08
P38323	YBR227C	8.82E-08	8.24E-08	7.85E-08
P38325	YBR230C	2.99E-07	3.11E-07	2.83E-07
P38326	YBR231C	2.88E-08	2.87E-08	1.84E-08
P38328	YBR234C	7.15E-07	1.70E-06	2.60E-06
P38331	YBR242W	1.97E-07	1.85E-07	1.58E-07
P38333	YBR247C	2.79E-07	2.66E-07	2.58E-07
P38334	YBR254C	1.10E-07	0	8.80E-08
P38339	YBR260C	4.53E-08	4.35E-08	4.63E-08
P38340	YBR261C	5.31E-07	5.42E-07	4.88E-07
P38341	YBR262C	7.43E-08	1.11E-07	1.84E-07
P38344	YBR267W	7.89E-08	6.96E-08	6.66E-08
P38348	YBR272C	1.50E-07	4.60E-08	5.55E-08
P38349	YBR273C	1.55E-07	1.53E-07	1.62E-07
P38351	YBR279W	1.46E-07	1.40E-07	1.37E-07
P38352	YBR280C	0	0	2.06E-07
P38426	YMR261C	2.50E-07	1.98E-07	1.83E-07
P38427	YML100W	9.12E-08	2.77E-07	1.29E-07
P38431	YPR041W	4.86E-06	4.79E-06	4.81E-06
P38439	YOR123C	2.14E-07	2.09E-07	2.08E-07
P38523	YOR232W	6.21E-06	5.74E-06	5.80E-06
P38555	YER031C	7.23E-07	6.29E-07	7.03E-07
P38604	YHR072W	1.24E-07	1.42E-07	1.34E-07
P38615	YMR139W	1.92E-07	1.27E-07	9.09E-08
P38616	YNL160W	4.07E-07	3.19E-07	7.20E-07
P38620	YER099C	1.85E-07	1.95E-07	1.95E-07
P38623	YLR248W	3.75E-08	4.18E-08	4.13E-08
P38624	YJL001W	1.39E-06	1.45E-06	1.66E-06
P38625	YMR217W	6.87E-06	6.90E-06	6.97E-06
P38626	YIL043C	1.94E-06	1.87E-06	1.91E-06
P38627	YJR103W	2.32E-07	1.64E-07	2.03E-07
P38628	YEL058W	8.09E-07	8.39E-07	9.01E-07
P38629	YNL290W	2.29E-07	2.85E-07	3.45E-07
P38630	YOR217W	8.39E-08	5.27E-08	5.50E-08
P38631	YLR342W	7.40E-07	6.88E-07	6.64E-07
P38635	YFR025C	1.57E-07	1.45E-07	1.56E-07
P38636	YNL259C	1.75E-06	1.80E-06	1.62E-06
P38682	YER122C	9.78E-07	9.29E-07	1.01E-06
P38687	YPL243W	4.19E-07	4.31E-07	3.96E-07
P38688	YPL210C	1.01E-07	9.30E-08	9.35E-08
P38689	YHL011C	3.17E-06	3.03E-06	2.91E-06
P38690	YHR033W	2.10E-08	4.95E-08	3.25E-08
P38694	YHR039C	2.51E-07	2.57E-07	2.35E-07
P38697	YHR216W	3.46E-08	3.98E-08	3.64E-08
P38698	YHR201C	7.49E-07	7.39E-07	7.38E-07
P38701	YHL015W	0.00010486	9.27E-05	0.000100838
P38703	YHL003C	1.32E-07	2.94E-07	1.28E-07
P38707	YHR019C	5.79E-06	6.07E-06	6.04E-06
P38708	YHR020W	3.58E-06	3.85E-06	3.75E-06
P38711	YHR021C	0.000211259	0.000206599	0.000215979
P38712	YHR065C	3.22E-07	3.20E-07	3.10E-07
P38713	YHR073W	5.19E-08	5.44E-08	5.38E-08
P38714	YHR091C	0	0	2.01E-08
P38715	YHR104W	1.16E-06	1.17E-06	1.14E-06
P38716	YHR112C	1.06E-06	1.06E-06	9.24E-07
P38719	YHR169W	7.90E-08	7.19E-08	6.99E-08
P38720	YHR183W	1.74E-05	1.79E-05	1.74E-05
P38732	YHL039W	1.60E-08	1.52E-08	1.51E-08
P38736	YHL031C	1.88E-07	1.39E-07	1.78E-07
P38737	YHL030W	4.04E-08	4.30E-08	3.51E-08
P38738	YHL029C	3.94E-09	3.73E-09	2.99E-09
P38741	YHL024W	1.13E-07	1.98E-07	1.64E-07
P38746	YHL014C	7.48E-08	3.42E-08	4.56E-08
P38747	YHL013C	9.50E-08	1.05E-07	8.70E-08
P38753	YHL002W	3.81E-08	4.80E-08	4.32E-08
P38754	YHL001W	4.73E-06	4.77E-06	5.08E-06
P38755	YHR001W	6.56E-07	6.46E-07	6.22E-07
P38756	YHR003C	5.38E-08	6.68E-08	9.86E-08
P38758	YHR009C	2.68E-07	2.57E-07	2.39E-07
P38759	YHR012W	3.32E-07	3.48E-07	3.96E-07
P38764	YHR027C	1.03E-06	9.54E-07	1.04E-06
P38765	YHR029C	9.59E-07	1.09E-06	9.47E-07
P38768	YHR034C	6.15E-08	6.73E-08	8.33E-08
P38771	YHR038W	3.37E-07	3.44E-07	3.76E-07
P38773	YHR043C	3.69E-07	3.79E-07	3.25E-07
P38777	YHR049W	2.14E-06	2.26E-06	2.26E-06
P38779	YHR052W	9.73E-07	9.42E-07	9.45E-07
P38781	YHR056C	5.46E-08	4.05E-08	6.98E-08
P38783	YHR059W	2.23E-07	2.34E-07	2.26E-07
P38784	YHR060W	1.77E-07	1.73E-07	1.83E-07
P38786	YHR062C	2.07E-07	1.70E-07	1.79E-07
P38787	YHR063C	2.84E-07	3.21E-07	3.16E-07
P38788	YHR064C	7.17E-06	7.43E-06	7.11E-06
P38789	YHR066W	4.62E-07	5.10E-07	4.45E-07
P38791	YHR068W	2.45E-06	2.45E-06	2.39E-06
P38792	YHR069C	5.02E-07	4.94E-07	4.80E-07
P38793	YHR070W	5.48E-08	5.67E-08	4.46E-08
P38795	YHR074W	2.61E-07	2.31E-07	2.59E-07
P38797	YHR076W	1.57E-07	1.68E-07	1.85E-07
P38798	YHR077C	3.94E-09	4.38E-09	5.11E-09
P38801	YHR081W	2.81E-07	2.81E-07	2.91E-07
P38803	YHR085W	5.10E-08	4.61E-08	0
P38804	YHR087W	8.69E-07	6.73E-07	7.58E-07
P38805	YHR088W	5.01E-08	5.18E-08	4.35E-08
P38809	YHR097C	1.18E-07	8.78E-08	9.17E-08
P38810	YHR098C	2.53E-07	2.37E-07	2.27E-07
P38811	YHR099W	0	3.57E-09	3.89E-09
P38812	YHR100C	3.80E-08	6.20E-08	5.10E-08
P38816	YHR106W	2.93E-08	0	3.96E-08
P38817	YHR108W	5.60E-07	5.45E-07	6.38E-07
P38818	YHR109W	6.89E-10	1.13E-09	1.09E-09
P38819	YHR110W	0	0	2.73E-08
P38820	YHR111W	1.99E-07	5.36E-07	4.75E-07
P38821	YHR113W	6.05E-07	5.83E-07	5.59E-07
P38822	YHR114W	8.24E-08	7.67E-08	7.11E-08
P38824	YHR116W	2.20E-09	9.84E-09	1.48E-08
P38825	YHR117W	1.73E-07	1.82E-07	1.53E-07
P38828	YHR121W	1.06E-06	1.00E-06	1.06E-06
P38829	YHR122W	2.14E-07	2.57E-07	2.92E-07
P38833	YHR127W	4.41E-08	4.61E-08	3.47E-08
P38836	YHR132C	4.35E-07	5.03E-07	4.41E-07
P38840	YHR137W	1.67E-07	1.71E-07	2.99E-07
P38841	YHR138C	8.35E-07	4.62E-07	6.61E-07
P38845	YHR146W	8.61E-07	9.51E-07	1.07E-06
P38852	YHR156C	3.21E-09	2.39E-09	2.50E-09
P38853	YHR158C	2.15E-08	3.13E-08	2.94E-08
P38858	YHR163W	2.68E-06	2.66E-06	2.64E-06
P38861	YHR170W	6.09E-07	5.85E-07	6.23E-07
P38862	YHR171W	1.25E-09	0	1.89E-09
P38866	YHR176W	0	0	3.00E-08
P38875	YHR188C	3.61E-08	3.03E-08	3.02E-08
P38878	YHR192W	3.07E-08	3.07E-08	2.43E-08
P38879	YHR193C	1.73E-05	1.71E-05	1.73E-05
P38882	YHR196W	3.34E-06	3.89E-06	3.14E-06
P38883	YHR197W	4.85E-08	4.23E-08	4.77E-08
P38884	YHR198C	1.13E-07	1.08E-07	1.07E-07
P38885	YHR199C	8.48E-09	6.34E-09	5.53E-09
P38886	YHR200W	7.15E-06	7.74E-06	7.21E-06
P38889	YHR206W	7.48E-08	7.38E-08	6.75E-08
P38890	YHR207C	6.01E-08	6.34E-08	6.02E-08
P38891	YHR208W	1.06E-05	1.11E-05	1.11E-05
P38892	YHR209W	0	1.46E-07	3.37E-07
P38902	YOL005C	1.46E-06	1.55E-06	1.44E-06
P38910	YOR020C	2.63E-05	2.81E-05	2.92E-05
P38911	YML074C	4.24E-06	4.20E-06	4.74E-06
P38912	YMR260C	7.12E-06	7.27E-06	7.39E-06
P38915	YLR055C	2.90E-08	5.52E-08	5.20E-08
P38922	YNL004W	1.72E-07	1.71E-07	1.64E-07
P38929	YGL006W	8.03E-08	6.03E-08	4.11E-08
P38930	YOR039W	1.12E-06	1.26E-06	1.22E-06
P38932	YGL095C	2.28E-08	2.04E-08	1.54E-08
P38934	YOR198C	4.69E-06	4.67E-06	4.76E-06
P38959	YDR080W	9.73E-08	9.92E-08	1.03E-07
P38961	YDR083W	1.55E-07	1.27E-07	1.30E-07
P38968	YDL195W	1.70E-06	1.75E-06	1.70E-06
P38970	YJL165C	1.10E-08	8.66E-09	1.66E-08
P38972	YGR061C	4.51E-06	4.72E-06	4.69E-06
P38985	YDL092W	5.37E-07	3.35E-07	4.58E-07
P38986	YDR321W	1.28E-06	1.23E-06	1.27E-06
P38988	YDL198C	2.07E-06	2.19E-06	2.16E-06
P38992	YDR297W	8.43E-09	6.84E-09	1.20E-08
P38996	YPL190C	3.36E-07	3.50E-07	3.36E-07
P38999	YNR050C	2.08E-05	2.05E-05	2.02E-05
P39002	YIL009W	1.68E-07	1.67E-07	1.44E-07
P39004	YDR342C	5.42E-08	7.24E-08	8.03E-08
P39006	YNL169C	7.29E-08	6.98E-08	7.54E-08
P39008	YNR052C	1.11E-07	1.56E-07	1.48E-07
P39009	YDL101C	0	2.20E-08	3.03E-08
P39011	YPL161C	0	5.22E-08	1.53E-08
P39013	YNL084C	3.89E-07	3.70E-07	3.32E-07
P39015	YLR150W	3.94E-05	3.87E-05	3.96E-05
P39076	YIL142W	3.94E-06	3.70E-06	3.83E-06
P39077	YJL014W	3.63E-06	3.80E-06	3.67E-06
P39078	YDL143W	2.59E-06	2.65E-06	2.65E-06
P39079	YDR188W	2.45E-06	2.34E-06	2.42E-06
P39081	YDR228C	2.70E-08	3.27E-08	3.52E-08
P39083	YOR127W	6.71E-09	8.28E-09	8.45E-09
P39101	YER048C	7.45E-07	7.33E-07	7.85E-07
P39102	YLR090W	7.52E-08	1.14E-07	8.24E-08
P39103	YML129C	3.86E-08	4.68E-08	4.43E-08
P39104	YNL267W	7.35E-09	5.74E-09	5.40E-09
P39105	YMR008C	1.40E-07	1.21E-07	1.30E-07
P39106	YER001W	3.19E-08	1.84E-08	2.46E-08
P39107	YPL050C	1.24E-06	1.09E-06	1.21E-06
P39111	YGR020C	5.10E-06	4.92E-06	4.95E-06
P39112	YMR287C	3.37E-09	2.76E-09	2.24E-09
P39515	YJL143W	1.10E-06	1.07E-06	1.22E-06
P39516	YJL191W	4.89E-07	4.76E-07	4.82E-07
P39517	YDL160C	9.26E-07	8.86E-07	9.13E-07
P39518	YER015W	1.95E-07	1.33E-07	2.40E-07
P39522	YJR016C	1.16E-05	1.09E-05	1.13E-05
P39523	YMR124W	4.85E-08	3.70E-08	4.76E-08
P39525	YER061C	1.73E-07	9.77E-07	6.07E-07
P39533	YJL200C	5.15E-06	5.08E-06	5.24E-06
P39543	YJL192C	1.51E-07	8.57E-08	1.17E-07
P39676	YGR234W	2.23E-05	2.59E-05	2.48E-05
P39677	YJL102W	0	5.37E-09	2.65E-08
P39683	YOR209C	1.88E-06	1.79E-06	1.77E-06
P39685	YMR129W	8.06E-08	6.62E-08	6.41E-08
P39692	YFR030W	4.94E-06	4.72E-06	4.94E-06
P39704	YAL007C	1.04E-06	7.60E-07	8.83E-07
P39705	YAR002W	1.74E-07	1.42E-07	1.59E-07
P39708	YAL062W	1.15E-07	7.34E-08	1.59E-07
P39714	YAL060W	1.24E-06	1.24E-06	1.26E-06
P39715	YAL059W	5.07E-07	4.79E-07	4.29E-07
P39719	YAL053W	3.79E-08	3.49E-08	1.77E-07
P39721	YAL049C	6.42E-07	6.58E-07	6.43E-07
P39724	YAL046C	1.49E-07	0	0
P39726	YAL044C	4.81E-06	5.42E-06	5.41E-06
P39727	YAL042W	1.59E-07	1.69E-07	1.54E-07
P39729	YAL036C	7.83E-07	7.97E-07	7.33E-07
P39730	YAL035W	2.04E-06	1.96E-06	2.00E-06
P39742	YLR292C	6.95E-07	7.35E-07	6.61E-07
P39743	YDR388W	6.83E-07	6.65E-07	6.65E-07
P39744	YOR206W	4.82E-07	4.48E-07	4.36E-07
P39904	YDR484W	7.11E-09	6.80E-09	0
P39925	YER017C	2.51E-07	3.23E-07	3.39E-07
P39926	YMR183C	2.71E-06	2.49E-06	2.59E-06
P39927	YGR156W	1.03E-07	8.53E-08	5.84E-07
P39929	YLR025W	4.94E-07	5.70E-07	5.80E-07
P39931	YLR250W	7.73E-07	7.51E-07	7.36E-07
P39935	YGR162W	2.41E-06	2.25E-06	2.37E-06
P39936	YGL049C	2.15E-07	1.83E-07	2.00E-07
P39938	YGL189C	7.85E-05	7.59E-05	7.75E-05
P39939	YER131W	1.13E-05	1.10E-05	1.13E-05
P39940	YER125W	1.06E-06	9.44E-07	8.19E-07
P39945	YER101C	5.16E-08	4.69E-08	5.81E-08
P39952	YER154W	3.51E-07	2.46E-07	2.22E-07
P39954	YER043C	5.11E-05	4.92E-05	4.93E-05
P39956	YER169W	7.52E-10	5.25E-10	9.43E-10
P39958	YER136W	1.39E-06	1.51E-06	1.57E-06
P39960	YER155C	5.56E-08	6.60E-08	5.07E-08
P39962	YER123W	1.87E-08	2.40E-08	4.61E-08
P39965	YER087W	6.71E-08	1.08E-07	7.89E-08
P39966	YER089C	5.71E-07	5.42E-07	5.47E-07
P39968	YEL013W	4.61E-07	4.37E-07	4.32E-07
P39969	YER114C	2.97E-08	2.80E-08	3.00E-08
P39976	YEL071W	1.66E-05	1.73E-05	1.74E-05
P39979	YEL066W	1.55E-06	1.67E-06	1.82E-06
P39984	YEL056W	0	2.23E-08	1.84E-08
P39985	YEL055C	3.27E-08	3.27E-08	2.64E-08
P39986	YEL031W	4.63E-07	4.05E-07	4.34E-07
P39988	YEL029C	5.80E-08	6.52E-08	1.10E-07
P39990	YEL026W	9.96E-06	9.29E-06	1.03E-05
P39995	YEL018W	9.72E-09	6.39E-09	8.72E-09
P39998	YEL015W	2.33E-07	2.48E-07	2.19E-07
P40005	YEL003W	7.91E-07	8.50E-07	7.99E-07
P40006	YEL001C	0	1.23E-06	0
P40007	YER002W	8.99E-07	9.37E-07	1.07E-06
P40008	YER004W	1.94E-06	2.37E-06	2.26E-06
P40010	YER006W	7.72E-07	7.52E-07	7.43E-07
P40011	YER010C	3.54E-07	3.52E-07	3.59E-07
P40012	YER014W	6.55E-08	3.12E-08	2.38E-08
P40013	YER016W	8.58E-08	1.11E-07	1.01E-07
P40016	YER021W	1.23E-06	1.11E-06	1.15E-06
P40017	YER024W	1.88E-07	1.64E-07	2.61E-07
P40018	YER029C	4.66E-07	5.07E-07	4.72E-07
P40019	YER030W	2.11E-07	1.84E-07	2.22E-07
P40022	YER034W	2.63E-07	2.98E-07	3.41E-07
P40024	YER036C	4.90E-06	4.63E-06	4.85E-06
P40029	YER042W	2.90E-06	2.73E-06	2.93E-06
P40030	YER044C	0	2.20E-07	5.41E-07
P40032	YER049W	8.72E-07	8.81E-07	8.87E-07
P40033	YER050C	3.80E-07	4.44E-07	3.98E-07
P40035	YER053C	3.40E-08	1.10E-07	7.64E-08
P40037	YER057C	7.74E-06	7.91E-06	7.75E-06
P40040	YER063W	6.86E-07	6.80E-07	7.62E-07
P40043	YER067W	6.73E-07	6.91E-07	1.04E-06
P40045	YER071C	5.31E-07	3.26E-07	2.42E-07
P40046	YER072W	2.26E-07	1.93E-07	2.56E-07
P40047	YER073W	3.61E-06	3.58E-06	3.35E-06
P40051	YER078C	2.17E-07	2.79E-07	1.99E-07
P40052	YER079W	0	4.25E-08	5.16E-08
P40053	YER080W	3.82E-07	3.62E-07	4.06E-07
P40054	YER081W	1.94E-06	1.90E-06	1.96E-06
P40055	YER082C	1.54E-07	1.36E-07	1.47E-07
P40056	YER083C	1.71E-07	1.60E-07	1.41E-07
P40060	YER092W	2.12E-06	8.29E-06	7.45E-06
P40064	YER105C	3.21E-08	3.22E-08	2.72E-08
P40066	YER107C	9.92E-08	1.18E-07	9.68E-08
P40069	YER110C	3.23E-06	2.85E-06	2.96E-06
P40070	YER112W	1.36E-06	1.36E-06	1.41E-06
P40075	YER120W	1.16E-06	1.13E-06	1.07E-06
P40078	YER126C	4.44E-07	4.28E-07	4.11E-07
P40079	YER127W	1.67E-07	4.46E-07	2.03E-07
P40080	YER128W	5.41E-08	5.99E-08	6.12E-08
P40081	YER134C	5.21E-07	4.92E-07	4.46E-07
P40084	YER139C	8.40E-08	0	0
P40086	YER141W	2.77E-08	2.02E-08	2.08E-08
P40087	YER143W	6.73E-07	7.46E-07	7.00E-07
P40088	YER145C	1.12E-08	1.04E-08	1.06E-08
P40089	YER146W	2.47E-07	3.12E-07	3.24E-07
P40091	YER149C	9.98E-08	7.62E-08	6.12E-08
