dataset.uniprotswissprot	dataset.ensembl_gene_id	t0_1	t0_2	t0_3
P15700	YKL024C	1.97E-06	1.95E-06	2.07E-06
P15703	YGR282C	9.14E-06	1.00E-05	9.22E-06
P15705	YOR027W	9.33E-06	9.00E-06	8.91E-06
P15731	YBR082C	4.62E-06	5.81E-06	5.19E-06
P15790	YIL035C	1.43E-07	1.48E-07	1.59E-07
P15807	YBR213W	5.08E-07	4.01E-07	4.01E-07
P15873	YBR088C	7.67E-07	9.51E-07	8.53E-07
P15891	YCR088W	1.75E-06	1.74E-06	1.82E-06
P15992	YBR072W	9.22E-06	6.19E-06	8.37E-06
P16120	YCR053W	5.67E-06	5.94E-06	6.07E-06
P16140	YBR127C	8.07E-06	8.25E-06	8.23E-06
P16370	YIL021W	4.30E-07	5.22E-07	5.45E-07
P16387	YER178W	4.02E-06	4.11E-06	4.34E-06
P16451	YGR193C	4.46E-07	3.97E-07	4.35E-07
P16467	YLR134W	2.82E-07	2.92E-07	2.80E-07
P16474	YJL034W	6.28E-06	5.87E-06	6.07E-06
P16521	YLR249W	5.83E-05	5.48E-05	5.63E-05
P16547	YIL136W	6.85E-07	6.44E-07	7.66E-07
P16550	YCL050C	4.36E-06	4.62E-06	4.66E-06
P16603	YHR042W	5.05E-07	4.89E-07	5.18E-07
P16622	YOR176W	8.59E-07	8.86E-07	1.07E-06
P16649	YCR084C	6.33E-07	5.35E-07	6.02E-07
P16661	YBR110W	2.68E-08	2.65E-08	2.24E-08
P16861	YGR240C	9.15E-06	8.83E-06	9.01E-06
P16862	YMR205C	8.19E-06	8.08E-06	8.06E-06
P16892	YBL016W	5.73E-07	6.06E-07	4.87E-07
P16965	YGR008C	0	4.54E-08	3.21E-08
P17065	YNL272C	1.74E-08	0	1.92E-08
P17076	YHL033C	1.52E-05	1.35E-05	1.36E-05
P17106	YJR060W	2.10E-07	2.11E-07	2.03E-07
P17119	YPR141C	5.89E-09	3.04E-09	0
P17157	YPL031C	3.62E-07	3.90E-07	3.23E-07
P17255	YDL185W	7.23E-06	7.33E-06	7.50E-06
P17423	YHR025W	4.28E-06	4.51E-06	4.56E-06
P17442	YGR233C	3.65E-08	2.25E-08	0
P17505	YKL085W	2.59E-06	2.67E-06	2.77E-06
P17536	YNL079C	2.14E-06	2.08E-06	2.19E-06
P17555	YNL138W	1.26E-06	1.16E-06	1.27E-06
P17558	YOR158W	4.08E-07	4.33E-07	4.34E-07
P17629	YDR138W	2.95E-09	0	2.78E-09
P17649	YGR019W	3.29E-07	3.35E-07	5.41E-07
P17695	YDR513W	2.41E-06	1.70E-06	2.08E-06
P17709	YCL040W	1.56E-06	1.92E-06	1.77E-06
P17883	YPR189W	3.35E-08	3.33E-08	3.12E-08
P17890	YNL151C	2.19E-07	2.07E-07	2.19E-07
P17891	YGR167W	2.99E-06	2.93E-06	2.96E-06
P17967	YCL043C	8.35E-06	8.18E-06	8.35E-06
P18239	YBL030C	1.03E-05	1.07E-05	1.21E-05
P18408	YPR167C	1.52E-06	1.70E-06	1.54E-06
P18496	YLR393W	8.42E-08	1.69E-07	1.63E-07
P18544	YOL140W	4.04E-06	4.17E-06	3.86E-06
P18562	YHR128W	2.09E-06	2.16E-06	2.22E-06
P18759	YBR080C	4.27E-07	4.03E-07	4.11E-07
P18851	YOR212W	3.87E-07	4.08E-07	3.52E-07
P18852	YJR086W	4.43E-07	4.12E-07	4.68E-07
P18888	YHL025W	0	1.30E-07	0
P18899	YMR173W	1.04E-06	9.29E-07	9.88E-07
P18900	YBR003W	1.34E-07	1.24E-07	1.25E-07
P18961	YMR104C	4.02E-08	3.36E-08	3.50E-08
P18962	YHR028C	2.77E-08	3.04E-08	2.83E-08
P19073	YLR229C	6.71E-07	5.89E-07	5.98E-07
P19097	YPL231W	6.98E-06	6.38E-06	6.92E-06
P19262	YDR148C	1.46E-06	1.62E-06	1.84E-06
P19358	YDR502C	5.25E-05	5.27E-05	5.50E-05
P19414	YLR304C	1.28E-05	1.28E-05	1.35E-05
P19454	YOR061W	5.65E-07	5.41E-07	4.67E-07
P19524	YOR326W	1.27E-07	1.16E-07	1.12E-07
P19657	YPL036W	2.72E-08	0	1.16E-07
P19659	YOL051W	1.21E-09	0	1.21E-09
P19812	YGR184C	2.65E-09	1.58E-09	2.34E-09
